# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (205.0, 0.0) mm
# Ground Distance (d): 205.0 mm
# Link 1 (Crank L1): 85.0 mm
# Link 2 (Coupler L2): 207.80038498520642 mm
# Link 3 (Rocker L3): 119.0 mm
# Coupler Point Offset (LP): 164.45364088398895 mm
# Coupler Point Angle (alpha): 28.916346831104075 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
45.5,183.7477,168.4535,-450.3821,416.2656,613.2871,-9819.0186,-2140.2795,10049.5733,5758.1277,8236.3759
46.0,183.3509,168.816,-458.8924,414.3483,618.2773,-9685.5705,-2253.5154,9944.2751,5678.5117,8163.5232
46.5,182.9468,169.1767,-467.2871,412.3329,623.1979,-9553.7955,-2365.1945,9842.2128,5598.7314,8094.6501
47.0,182.5354,169.5356,-475.5674,410.2207,628.0489,-9423.6455,-2475.3157,9743.3199,5518.9223,8029.5565
47.5,182.1168,169.8926,-483.7349,408.0131,632.8303,-9295.0731,-2583.8794,9647.529,5439.2065,7968.0517
48.0,181.6911,170.2477,-491.7908,405.7115,637.5422,-9168.0318,-2690.8871,9554.7727,5359.6931,7909.9539
48.5,181.2585,170.6007,-499.7366,403.3171,642.1848,-9042.4763,-2796.3415,9464.9831,5280.4797,7855.09
49.0,180.819,170.9516,-507.5734,400.8314,646.7585,-8918.3623,-2900.2463,9378.0923,5201.6536,7803.2951
49.5,180.3726,171.3003,-515.3025,398.2557,651.2635,-8795.6463,-3002.6059,9294.0323,5123.2922,7754.4125
50.0,179.9196,171.6466,-522.9251,395.5913,655.7004,-8674.286,-3103.4258,9212.7352,5045.4645,7708.2928
50.5,179.46,171.9907,-530.4423,392.8396,660.0697,-8554.2401,-3202.712,9134.1332,4968.2312,7664.794
51.0,178.9939,172.3323,-537.8554,390.0019,664.3718,-8435.4685,-3300.4715,9058.1588,4891.6461,7623.7812
51.5,178.5213,172.6713,-545.1654,387.0796,668.6074,-8317.9318,-3396.7116,8984.7448,4815.7561,7585.1257
52.0,178.0424,173.0078,-552.3733,384.074,672.7771,-8201.592,-3491.4402,8913.8245,4740.6023,7548.7056
52.5,177.5572,173.3416,-559.4802,380.9864,676.8816,-8086.412,-3584.6656,8845.3314,4666.2202,7514.4046
53.0,177.0659,173.6727,-566.487,377.818,680.9215,-7972.3557,-3676.3967,8779.1998,4592.6404,7482.1122
53.5,176.5686,174.001,-573.3949,374.5703,684.8975,-7859.3881,-3766.6427,8715.3645,4519.8888,7451.7235
54.0,176.0652,174.3265,-580.2046,371.2444,688.8104,-7747.4751,-3855.4129,8653.761,4447.9875,7423.1386
54.5,175.5559,174.649,-586.9171,367.8417,692.6609,-7636.5838,-3942.7172,8594.3255,4376.9546,7396.2626
55.0,175.0409,174.9684,-593.5332,364.3635,696.4499,-7526.6822,-4028.5654,8536.995,4306.8048,7371.0051
55.5,174.5201,175.2849,-600.0539,360.811,700.178,-7417.7392,-4112.9678,8481.7073,4237.5501,7347.2803
56.0,173.9936,175.5982,-606.4799,357.1854,703.8461,-7309.7248,-4195.9345,8428.401,4169.1992,7325.0066
56.5,173.4616,175.9083,-612.812,353.4881,707.4549,-7202.61,-4277.476,8377.0157,4101.7585,7304.1063
57.0,172.9241,176.2151,-619.0511,349.7202,711.0052,-7096.3665,-4357.6028,8327.4918,4035.2323,7284.5055
57.5,172.3812,176.5186,-625.1978,345.8831,714.498,-6990.9671,-4436.3255,8279.7708,3969.6224,7266.1339
