# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank L1): 50.0 mm
# Link 2 (Coupler L2): 120.0 mm
# Link 3 (Rocker L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Angle (alpha): 30.0 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
58.0,68.287,110.6191,-238.5943,151.3613,282.5553,-5226.0642,-3355.0547,6210.3252,2615.7131,5632.6001
58.5,68.0768,110.7499,-243.128,148.4265,284.8538,-5164.4812,-3371.0366,6167.3134,2651.4618,5568.2586
59.0,67.8626,110.8781,-247.608,145.4778,287.182,-5102.8506,-3387.0355,6124.6301,2683.9019,5505.2488
59.5,67.6446,111.0038,-252.0342,142.515,289.5371,-5041.1842,-3403.0386,6082.2865,2713.1806,5443.6073
60.0,67.4228,111.1268,-256.4065,139.5383,291.9165,-4979.4933,-3419.033,6040.293,2739.442,5383.363
60.5,67.1971,111.2473,-260.725,136.5477,294.3175,-4917.7886,-3435.0065,5998.6593,2762.8266,5324.5378
61.0,66.9677,111.3652,-264.9897,133.5431,296.7377,-4856.0804,-3450.9467,5957.3946,2783.4711,5267.1472
61.5,66.7347,111.4804,-269.2005,130.5247,299.1748,-4794.3787,-3466.8418,5916.5073,2801.5078,5211.2007
62.0,66.4979,111.593,-273.3574,127.4924,301.6266,-4732.6929,-3482.6798,5876.0055,2817.0652,5156.7028
62.5,66.2576,111.7029,-277.4606,124.4463,304.0909,-4671.032,-3498.4493,5835.8965,2830.267,5103.6532
63.0,66.0137,111.8102,-281.5099,121.3864,306.5657,-4609.4046,-3514.139,5796.187,2841.2327,5052.0472
63.5,65.7663,111.9147,-285.5055,118.313,309.0491,-4547.8192,-3529.7378,5756.8835,2850.0769,5001.8766
64.0,65.5154,112.0166,-289.4474,115.2259,311.5394,-4486.2834,-3545.2347,5717.9916,2856.9103,4953.1295
64.5,65.2611,112.1158,-293.3356,112.1254,314.0348,-4424.8051,-3560.6193,5679.5167,2861.8386,4905.7914
65.0,65.0034,112.2123,-297.1702,109.0115,316.5337,-4363.3912,-3575.881,5641.4633,2864.9632,4859.845
65.5,64.7425,112.3061,-300.9512,105.8843,319.0346,-4302.0489,-3591.0097,5603.8358,2866.3814,4815.2709
