# ========================================================
# 4-BAR PLANAR KINEMATIC ENGINE DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank Length L1): 50.0 mm
# Link 2 (Coupler Length L2): 120.0 mm
# Link 3 (Rocker Length L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Offset Angle (alpha): 30.0 deg (ref to segment AB)
# Resolution Steps: 720 (Step size: 0.50 deg)
# ========================================================
step,crank_angle_deg,coupler_angle_deg,rocker_angle_deg,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y,coupler_p_x,coupler_p_y
86,43.0,33.2822,91.785,36.5677,34.0999,136.885,99.9515,72.5354,105.5585
87,43.5,33.0993,91.8362,36.2687,34.4177,136.7958,99.9487,72.4644,105.7611
88,44.0,32.918,91.8906,35.967,34.7329,136.7009,99.9456,72.3882,105.9614
89,44.5,32.7385,91.9483,35.6625,35.0455,136.6002,99.9422,72.3067,106.1595
90,45.0,32.5607,92.0092,35.3553,35.3553,136.4939,99.9385,72.22,106.3553
91,45.5,32.3846,92.0734,35.0455,35.6625,136.3821,99.9345,72.1282,106.5489
92,46.0,32.2102,92.1407,34.7329,35.967,136.2647,99.9302,72.0313,106.7401
93,46.5,32.0375,92.2111,34.4177,36.2687,136.1419,99.9255,71.9293,106.9291
94,47.0,31.8664,92.2846,34.0999,36.5677,136.0137,99.9205,71.8223,107.1157
95,47.5,31.697,92.3612,33.7795,36.8639,135.8802,99.9151,71.7103,107.3001
96,48.0,31.5292,92.4408,33.4565,37.1572,135.7413,99.9093,71.5933,107.4821
97,48.5,31.3631,92.5234,33.131,37.4478,135.5973,99.903,71.4715,107.6618
98,49.0,31.1987,92.6089,32.803,37.7355,135.4481,99.8963,71.3449,107.8391
99,49.5,31.0358,92.6975,32.4724,38.0203,135.2938,99.8892,71.2134,108.0141
100,50.0,30.8746,92.7889,32.1394,38.3022,135.1345,99.8816,71.0772,108.1868
101,50.5,30.715,92.8831,31.8039,38.5812,134.9701,99.8734,70.9362,108.357
102,51.0,30.557,92.9802,31.466,38.8573,134.8009,99.8648,70.7906,108.5249
103,51.5,30.4006,93.0801,31.1257,39.1304,134.6267,99.8555,70.6404,108.6904
104,52.0,30.2458,93.1828,30.7831,39.4005,134.4478,99.8457,70.4855,108.8535
105,52.5,30.0925,93.2882,30.4381,39.6677,134.2641,99.8354,70.3262,109.0142
106,53.0,29.9408,93.3963,30.0908,39.9318,134.0757,99.8244,70.1623,109.1724
107,53.5,29.7906,93.5071,29.7411,40.1928,133.8827,99.8127,69.994,109.3283
108,54.0,29.642,93.6206,29.3893,40.4508,133.6851,99.8004,69.8213,109.4816
109,54.5,29.495,93.7366,29.0351,40.7058,133.483,99.7874,69.6443,109.6325
110,55.0,29.3494,93.8552,28.6788,40.9576,133.2765,99.7737,69.4629,109.781
111,55.5,29.2054,93.9764,28.3203,41.2063,133.0655,99.7593,69.2773,109.9269
112,56.0,29.0628,94.1001,27.9596,41.4519,132.8502,99.7441,69.0875,110.0704
113,56.5,28.9218,94.2262,27.5968,41.6943,132.6306,99.7281,68.8935,110.2114
114,57.0,28.7822,94.3548,27.232,41.9335,132.4067,99.7113,68.6954,110.3498
115,57.5,28.6441,94.4859,26.865,42.1696,132.1787,99.6937,68.4932,110.4857
116,58.0,28.5075,94.6193,26.496,42.4024,131.9466,99.6752,68.287,110.6191
117,58.5,28.3723,94.7551,26.1249,42.632,131.7104,99.6558,68.0768,110.7499
118,59.0,28.2385,94.8932,25.7519,42.8584,131.4702,99.6355,67.8626,110.8781
119,59.5,28.1062,95.0336,25.3769,43.0815,131.226,99.6143,67.6446,111.0038
120,60.0,27.9753,95.1763,25.0,43.3013,130.978,99.5922,67.4228,111.1268
121,60.5,27.8458,95.3212,24.6212,43.5178,130.7261,99.569,67.1971,111.2473
122,61.0,27.7177,95.4683,24.2405,43.731,130.4705,99.5449,66.9677,111.3652
123,61.5,27.591,95.6176,23.8579,43.9409,130.2111,99.5197,66.7347,111.4804
124,62.0,27.4657,95.7691,23.4736,44.1474,129.948,99.4935,66.4979,111.593
125,62.5,27.3418,95.9227,23.0874,44.3505,129.6814,99.4662,66.2576,111.7029
126,63.0,27.2192,96.0784,22.6995,44.5503,129.4111,99.4378,66.0137,111.8102
127,63.5,27.0979,96.2361,22.3099,44.7467,129.1374,99.4083,65.7663,111.9147
128,64.0,26.978,96.3959,21.9186,44.9397,128.8602,99.3776,65.5154,112.0166
129,64.5,26.8595,96.5577,21.5256,45.1293,128.5796,99.3457,65.2611,112.1158
130,65.0,26.7422,96.7215,21.1309,45.3154,128.2957,99.3127,65.0034,112.2123
131,65.5,26.6263,96.8872,20.7347,45.4981,128.0085,99.2784,64.7425,112.3061
132,66.0,26.5117,97.0549,20.3368,45.6773,127.718,99.2429,64.4782,112.3971
133,66.5,26.3983,97.2244,19.9375,45.853,127.4244,99.2061,64.2107,112.4854
134,67.0,26.2863,97.3958,19.5366,46.0252,127.1276,99.1681,63.94,112.571
135,67.5,26.1755,97.5691,19.1342,46.194,126.8278,99.1287,63.6662,112.6537
136,68.0,26.066,97.7442,18.7303,46.3592,126.5249,99.088,63.3893,112.7337
137,68.5,25.9578,97.9211,18.3251,46.5209,126.2191,99.0459,63.1094,112.8109
138,69.0,25.8508,98.0997,17.9184,46.679,125.9103,99.0024,62.8264,112.8853
139,69.5,25.745,98.2801,17.5104,46.8336,125.5987,98.9576,62.5405,112.9568
140,70.0,25.6405,98.4622,17.101,46.9846,125.2843,98.9113,62.2518,113.0256
141,70.5,25.5371,98.646,16.6903,47.1321,124.9671,98.8636,61.9601,113.0915
142,71.0,25.435,98.8315,16.2784,47.2759,124.6471,98.8144,61.6656,113.1546
143,71.5,25.3341,99.0186,15.8652,47.4162,124.3246,98.7638,61.3684,113.2148
144,72.0,25.2344,99.2073,15.4508,47.5528,123.9994,98.7116,61.0684,113.2722
145,72.5,25.1359,99.3976,15.0353,47.6858,123.6716,98.6579,60.7658,113.3267
146,73.0,25.0386,99.5894,14.6186,47.8152,123.3413,98.6027,60.4605,113.3783
147,73.5,24.9424,99.7828,14.2008,47.941,123.0086,98.5459,60.1527,113.427
